Instrument ID,Image Filename,Image Citation,Instrument Name,Instrument Description,Instrument Uses,Other Names,Image URL
1,1_curved clamp.png,Wexler Surgical. (n.d.). Curved clamp. https://www.wexlersurgical.com/images//webp/FL0845_12F_TN.webpm,Curved Clamp,"A surgical clamp with curved jaws, available in various sizes and serrations (e.g., transverse, longitudinal, or a combination). The curvature facilitates access and visualization in specific surgical fields",Primarily used for clamping blood vessels to control bleeding (hemostasis). Can also be used to hold tissues or secure sutures. Specific sizes and types are chosen based on the vessel or tissue being clamped,,https://www.wexlersurgical.com/images//webp/FL0845_12F_TN.webpm
2,2_straight clamp.png,"Wexler Surgical. (n.d.). Straight Clamp. Retrieved March 9, 2025, from https://www.wexlersurgical.com/images//webp/FL0840_12_TN_01.webp",Straight Clamp,"A surgical clamp with straight jaws, also available in various sizes and serrations","Similar to curved clamps, they are used for clamping blood vessels and tissues, but the straight jaws may be more suitable for certain approaches or when dealing with less deep structures","Straight Forceps, Straight Hemostat, Kelly Clamp (if larger), Crile Clamp (if medium-sized)",https://www.wexlersurgical.com/images//webp/FL0840_12_TN_01.webp
3,3_allis tissue forceps.png,"TJM Enterprises. (n.d.). Allis Tissue Forceps. Retrieved March 9, 2025, from https://tjmenterprises.online/wp-content/uploads/2018/02/Allis-Tissue-Forcep.jpg",Allis Tissue Forceps,"A forceps with multiple small, interlocking teeth at the tips. These teeth are designed to grasp tissue gently but firmly","Used for grasping and holding tissues, particularly slippery or delicate tissues like fascia, bowel, or lung tissue, during dissection or suturing.
They are designed to minimize tissue trauma","Allis Clamp, Allis Forceps",https://tjmenterprises.online/wp-content/uploads/2018/02/Allis-Tissue-Forcep.jpg
4,4_army-navy retractor.png,"Wexler Surgical. (n.d.). Army-Navy Retractor. Retrieved March 9, 2025, from https://www.wexlersurgical.com/images//webp/TL0059_2_TN_01_NEW.webp",Army-Navy Retractor,"A double-ended retractor with smooth, flat blades at each end. The blades are usually slightly curved and angled",Used to retract skin and superficial tissues to improve visualization of the surgical field. Commonly used in shallow or superficial incisions,"U.S. Retractor (less common), Parker Retractor (less common)",https://www.wexlersurgical.com/images//webp/TL0059_2_TN_01_NEW.webp
5,5_thumb forceps.png,Wilcare. (n.d.). Thumb forceps. https://wilcare.com.ph/cdn/shop/products/Thumb-forceps_480x.jpg?v=1564963764,Thumb Forceps,Tweezer-like forceps with serrated tips. They are held between the thumb and forefinger,"Used for grasping and manipulating tissues, dressings, or other materials. Not typically used for heavy tissue dissection.","Dressing Forceps, Thumb Tweezers, Smooth Forceps (if without teeth)",https://wilcare.com.ph/cdn/shop/products/Thumb-forceps_480x.jpg?v=1564963764
6,6_tissue forceps.png,"Swell Store. (n.d.). Tissue Forceps. Retrieved March 9, 2025, from https://cdn.swell.store/sklar-staging/6709b001403a7e0012ab2a66/68d34b177b63af531fc518a97879ff87",Tissue Forceps,Forceps with teeth at the tips. The teeth interlock to provide a secure grip on tissue,"Used for holding and manipulating tissue during dissection and suturing. The teeth provide a more secure grip than thumb forceps, but they can also cause more tissue trauma if not used carefully","Toothed Forceps, Rat-Tooth Forceps, Bonney",https://cdn.swell.store/sklar-staging/6709b001403a7e0012ab2a66/68d34b177b63af531fc518a97879ff87
7,7_adson forceps.png,"Wexler Surgical. (n.d.). Adson Forceps. Retrieved March 9, 2025, from https://www.wexlersurgical.com/images//webp/FL0051_1_TN.webp",Adson Forceps,"Small, delicate forceps with narrow tips and fine teeth (or sometimes smooth)","Used for holding fine tissues during delicate procedures, such as plastic surgery, neurosurgery, or vascular surgery","Adson Dressing Forceps (if smooth), Adson Tissue Forceps (if toothed)",https://www.wexlersurgical.com/images//webp/FL0051_1_TN.webp
8,8_metzenbaum scissors.png,"Wilcare. (n.d.). Metzenbaum Scissors. Retrieved March 9, 2025, from https://wilcare.com.ph/cdn/shop/products/Metz-Scissors-Str_680bee1e-1997-4f1e-a1ed-b8558c03f448_720x.jpg?v=1565134323",Metzenbaum Scissors,"Delicate scissors with long, thin blades and blunt tips",Designed for dissecting delicate tissues and for blunt dissection. They are not intended for cutting tough tissues or sutures,"Metz Scissors, Tissue Scissors",https://wilcare.com.ph/cdn/shop/products/Metz-Scissors-Str_680bee1e-1997-4f1e-a1ed-b8558c03f448_720x.jpg?v=1565134323
9,9_mayo scissors.png,"Amesco. (n.d.). Mayo Scissors. Retrieved March 9, 2025, from https://amesco.ph/shop/wp-content/uploads/2021/12/Mayo-Surgical-Scissors-Cvd-5.5in-2.jpg",Mayo Scissors,Heavy-duty surgical scissors with straight or curved blades,"Used for cutting tough tissues, such as fascia, muscle, and sutures. Mayo scissors are available in different styles (e.g., Mayo-Dissecting, Mayo-Suture)","Mayo Dissecting Scissors, Mayo Suture Scissors","https://amesco.ph/shop/wp-content/uploads/2021/12/Mayo-Surgical-Scissors-Cvd-5.5in-2.jpg"
10,10_blade holder.png,[Blade Holder]. (n.d.). https://down-ph.img.susercontent.com/file/ph-11134207-7r98p-lz6vyqeepfui59,Blade Holder,"A handle designed to hold a surgical blade.
Scalpel handles come in different sizes to accommodate different blade sizes",Used for making incisions and dissecting tissues,"Scalpel Handle, Knife Handle","https://down-ph.img.susercontent.com/file/ph-11134207-7r98p-lz6vyqeepfui59
"
